time;level;logger;message;callsite;exception
2021-03-19 13:44:37.0830;Error;Facelift_App.Helper.Mailing;SendEmail - SmtpException : Error in processing. The server response was: 5.7.3 STARTTLS is required to send mail [SI2P153CA0003.APCP153.PROD.OUTLOOK.COM];Facelift_App.Helper.Mailing.SendEmail;
2021-03-19 13:45:40.3301;Error;Facelift_App.Helper.Mailing;SendEmail - SmtpException : Error in processing. The server response was: 5.7.3 STARTTLS is required to send mail [SI2P153CA0004.APCP153.PROD.OUTLOOK.COM];Facelift_App.Helper.Mailing.SendEmail;
2021-03-19 13:47:04.5915;Error;Facelift_App.Helper.Mailing;SendEmail - SmtpException : Error in processing. The server response was: 5.7.3 STARTTLS is required to send mail [SI2P153CA0009.APCP153.PROD.OUTLOOK.COM];Facelift_App.Helper.Mailing.SendEmail;
2021-03-19 14:23:04.4092;Error;Facelift_App.Helper.Mailing;SendEmail - SmtpException : Error in processing. The server response was: 5.7.3 STARTTLS is required to send mail [SG3P274CA0018.SGPP274.PROD.OUTLOOK.COM];Facelift_App.Helper.Mailing.SendEmail;
2021-03-19 14:24:49.7263;Info;Facelift_App.Helper.Mailing;SendEmail - Facelift - Test Email sent to tss1@sgp-dkp.com;Facelift_App.Helper.Mailing.SendEmail;
2021-03-19 15:39:42.9681;Info;Facelift_App.Helper.Mailing;SendEmail - Facelift_Invoice_WHC002 - SKIN_2_2021 sent to tss1@sgp-dkp.com;Facelift_App.Helper.Mailing.SendEmail;
2021-03-19 15:39:42.9681;Info;Facelift_App.Helper.Mailing;SendEmail - Facelift_Invoice_WHC001 - CRMS_2_2021 sent to tss1@sgp-dkp.com;Facelift_App.Helper.Mailing.SendEmail;
2021-03-19 15:39:42.9681;Info;Facelift_App.Helper.Mailing;SendEmail - Facelift_Invoice_WHC003 - MANUCHAR_2_2021 sent to tss1@sgp-dkp.com;Facelift_App.Helper.Mailing.SendEmail;
2021-03-19 15:48:50.6900;Info;Facelift_App.Helper.Mailing;SendEmail - Facelift_Invoice_WHC001 - CRMS_2_2021 sent to tss1@sgp-dkp.com;Facelift_App.Helper.Mailing.SendEmail;
2021-03-19 15:48:51.7838;Info;Facelift_App.Helper.Mailing;SendEmail - Facelift_Invoice_WHC002 - SKIN_2_2021 sent to tss1@sgp-dkp.com;Facelift_App.Helper.Mailing.SendEmail;
2021-03-19 15:48:51.8626;Info;Facelift_App.Helper.Mailing;SendEmail - Facelift_Invoice_WHC003 - MANUCHAR_2_2021 sent to tss1@sgp-dkp.com;Facelift_App.Helper.Mailing.SendEmail;
2021-03-19 15:55:11.3907;Info;Facelift_App.Helper.Mailing;SendEmail - Facelift_Invoice_WHC001_CRMS_2_2021 sent to tss1@sgp-dkp.com;Facelift_App.Helper.Mailing.SendEmail;
2021-03-19 15:55:11.8808;Info;Facelift_App.Helper.Mailing;SendEmail - Facelift_Invoice_WHC002_SKIN_2_2021 sent to tss1@sgp-dkp.com;Facelift_App.Helper.Mailing.SendEmail;
2021-03-19 15:55:11.9773;Info;Facelift_App.Helper.Mailing;SendEmail - Facelift_Invoice_WHC003_MANUCHAR_2_2021 sent to tss1@sgp-dkp.com;Facelift_App.Helper.Mailing.SendEmail;
2021-03-19 16:03:29.1283;Info;Facelift_App.Helper.Mailing;SendEmail - Facelift_Invoice_WHC001_CRMS_2_2021 sent to tss1@sgp-dkp.com;Facelift_App.Helper.Mailing.SendEmail;
2021-03-19 16:03:29.2508;Info;Facelift_App.Helper.Mailing;SendEmail - Facelift_Invoice_WHC002_SKIN_2_2021 sent to tss1@sgp-dkp.com;Facelift_App.Helper.Mailing.SendEmail;
2021-03-19 16:03:30.7944;Info;Facelift_App.Helper.Mailing;SendEmail - Facelift_Invoice_WHC003_MANUCHAR_2_2021 sent to tss1@sgp-dkp.com;Facelift_App.Helper.Mailing.SendEmail;
